stage,status,role,evidence,allowed_next,forbidden,default_switch
Stage78,正式基准,当前正式防守版和新研究默认对照,"期末权益4,600,090; 总收益2200.0450%; 最大回撤-36.9907%; Sharpe 1.2919; 滑点260,110; 交易779; 胜率42.1053%","准实盘复盘; 执行/滑点审计; AI池切换稳定性; 组合层风控对照","不用负向分支替代; 不机械叠加其他机制",开启
Stage75,收益上限参考,高收益历史参考,"期末权益4,644,365; 总收益2222.1825%; 最大回撤-36.9907%; Sharpe 1.2926","作为Stage78收益天花板参考","不作为正式版替代Stage78",关闭
Stage90,降级/停止正式化,事件级研究信号,"全周期期末权益4,732,125; 2026起收益-14.6125%; Sharpe -0.8342; Stage93弱起点验证失败","仅作为进攻/防守状态切换概念来源重新建模","不继续调RSI/恢复阈值/min_multiplier/回撤阈值",关闭
Stage105,候选,Stage78继任候选和fu+sn卫星候选,"期末权益4,752,645; 总收益2276.3225%; Sharpe 1.3067; 40万保证金直接部署失败","Stage78继任复核; 卫星归因复核","不直接40万部署; 不继续搜索更多卫星品种",复核时开启
Stage111,40万部署候选,40万保证金安全配置,"期末权益2,766,945; 总收益591.7363%; 最大回撤-21.6475%; Sharpe 1.4757; 最大保证金/权益51.7933%","40万本金自然并发/保证金/组合层风险约束研究","不替代Stage78做纯Alpha基准; 不机械套到20万",40万部署研究开启
Stage115,20万研究对照,20万本金安全研究候选,"期末权益932,280; 总收益366.1400%; 最大回撤-24.6971%; Sharpe 1.0501","20万本金研究对照","不和40万版本混用结论",关闭
Stage118,停止,Stage78和Stage111直接叠加验证,"期末权益2,658,985; 总收益564.7462%; Sharpe 1.4457; 低于Stage111",无,"不继续直接叠加",关闭
Stage120,研究信号/未过安全线,Stage78资金约束上限探索,"期末权益3,333,745; 总收益733.4363%; Sharpe 1.4832; 最大保证金/权益79.9596%","作为资金释放提高收益的证据","不以接近80%保证金占用做正式规则",关闭
Stage122,降级,安全资金约束验证,"期末权益2,851,515; 总收益612.8788%; 最大回撤-23.1565%; Sharpe 1.3741","资金安全下限参考","不围绕cap50/cap55继续小数调参",关闭
Stage124-126,停止,增量保证金预算/峰值保护分支,"gate80伤害前排候选; rank=1保护修复有限; 未稳定超过Stage78/gate90",无,"不继续调gate阈值和rank保护",关闭
Stage128,禁止继续调参,利润回吐保护分支,"全周期期末权益4,935,450; 最大回撤-31.5415%; q2022_4 252d恶化到-11.6600%; 开仓候选20降到6","作为风险状态改变会错过恢复段的反例","不调trigger/retain/min_lock; 不做弱窗口补丁",关闭
Stage132,禁止继续调参,利润保护亏损状态解耦验证,"期末权益4,883,250; 比Stage128少52,200; 弱窗口完全不修复",无,"不继续调profit_giveback_streak_update_mode",关闭
Stage133,停止慢更新方向,AI品种池更新节奏验证,"月更Stage78期末权益4,600,090; 2个月2,729,355; 3个月3,408,180; 6个月2,732,710","转向切换稳定性/换手约束","不搜索4/5个月或特殊月份节奏",月更开启慢更新关闭
Stage72-73,停止宽扩张,全市场宽池扩张验证,"直接全市场扩张失败; 结构预筛可发现fu/sn类卫星","结构性卫星候选验证","不做历史收益TopN宽池扩张",关闭
