rank,chart_file,vt_symbol,direction,entry_date,pre_entry_15m_structure,entry_location,entry_day_behavior,immediate_follow_through,breakout_or_reversal,consolidation_then_expansion,visible_adverse_move,path_smoothness,dominant_visual_pattern,confidence,visual_evidence
1,winner_0001_rb2210_SHFE_BACKTESTING_336.png,rb2210.SHFE,short,2022-07-07,trend_same_direction,pullback_or_retest,two_way_chop,delayed_2plus_days,continuation_breakout,yes,none_or_small,high,下跌中继回抽后再破位,high,入场前已阶梯下行；入场日围绕4250窄幅双向；约两日后再向下扩张
2,winner_0002_jm2205_DCE_BACKTESTING_288.png,jm2205.DCE,long,2022-02-14,reversal_or_base,turning_point,two_way_chop,delayed_2plus_days,reversal,yes,moderate,medium,V形筑底后延迟上破,high,前段下跌后形成低位回升；入场位靠近底部支撑；先横盘后约三日上破
3,winner_0003_hc2210_SHFE_BACKTESTING_335.png,hc2210.SHFE,short,2022-07-07,trend_same_direction,pullback_or_retest,two_way_chop,delayed_2plus_days,continuation_breakout,yes,none_or_small,high,下跌趋势中的平台续跌,high,入场前方向向下；入场附近短暂整理；随后阶梯式续跌且反向波动小
4,winner_0004_lc2509_GFEX_BACKTESTING_565.png,lc2509.GFEX,long,2025-07-11,reversal_or_base,breakout_edge,directional_then_flat,yes_same_day_or_next,range_breakout,yes,none_or_small,medium,底部平台后隔夜跳升,high,入场前围绕入场价形成紧凑底部；当日先抬升；下一时段大幅跳升并扩张
5,winner_0005_SM409_CZCE_BACKTESTING_462.png,SM409.CZCE,long,2024-04-24,trend_same_direction,breakout_edge,directional_expansion,yes_same_day_or_next,continuation_breakout,yes,none_or_small,high,紧凑上升趋势直接扩张,high,入场前已有有序抬高；入场日突破近端高点；之后连续阶梯上涨
6,winner_0006_FG009_CZCE_BACKTESTING_49.png,FG009.CZCE,long,2020-07-03,trend_same_direction,pullback_or_retest,directional_then_flat,yes_same_day_or_next,continuation_breakout,yes,moderate,medium,上升趋势回踩后续涨,high,入场前稳步上涨；入场后短暂跌回线下；随后恢复并继续上行
7,winner_0007_au2006_SHFE_BACKTESTING_12.png,au2006.SHFE,long,2020-02-17,reversal_or_base,breakout_edge,directional_then_flat,yes_same_day_or_next,reversal,yes,none_or_small,high,高低点抬升后的反转突破,high,早段下行后出现更高低点；入场于平台上沿；随后通过跳升和阶梯延续
8,winner_0008_AP101_CZCE_BACKTESTING_112.png,AP101.CZCE,short,2020-11-20,trend_same_direction,pullback_or_retest,two_way_chop,mixed,continuation_breakout,yes,large,low,大幅逆向冲高后的续跌,high,总体仍下行但入场后先出现显著逆向冲高；之后才快速转为大幅下跌
9,winner_0009_FG109_CZCE_BACKTESTING_168.png,FG109.CZCE,long,2021-04-14,reversal_or_base,pullback_or_retest,two_way_chop,yes_same_day_or_next,reversal,yes,none_or_small,medium,V形回升后的回踩上破,high,入场前完成V形回升；入场位接近回踩支撑；下一日越过平台并继续走高
10,winner_0010_SM201_CZCE_BACKTESTING_215.png,SM201.CZCE,long,2021-09-01,partial_or_discontinuous,gap_or_jump,two_way_chop,mixed,unclear,unclear,none_or_small,low,多段跳空驱动的抬升,low,顶部15分钟图存在7800到8300再到8500附近的不连续段；入场后仅见震荡性小幅抬高
