variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,window_id,requested_start,requested_end,promotion_arm
stage004_A_start_2019,A: 当前正式 C9/15万,stage004_A_start_2019,start_2019,2019-01-01 independent start to 2026-05-29,start_year,2019-01-02,2026-05-29,150000.0,150000.0,0.4,1794,14009468.700000009,9239.645800000006,84.56426863141088,-55.7844769914267,24.180018071838013,1.4920426979646961,123044.80000000002,96.62953506079461,62.64079177607628,0,2,0,1662110.0,748.0,53.06479859894922,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,14009468.700000009,9239.645800000006,84.56426863141088,-55.7844769914267,1.4920426979646961,123044.80000000002,96.62953506079461,62.64079177607628,93.39645800000005,,,,,2019-01,2019-01,2019,1,1,1,1,1,1,1,stage004_A_start_2019,start_2019,2019-01-01,2026-05-29,A
stage004_C_start_2019,C: 正式基线 + 换月连续历史形态续仓,stage004_C_start_2019,start_2019,2019-01-01 independent start to 2026-05-29,start_year,2019-01-02,2026-05-29,150000.0,150000.0,0.4,1794,14863412.000000013,9808.941333333343,86.04529724285999,-56.400517306484296,23.84809891926014,1.507689469580099,132956.90000000002,97.72095096269831,63.42912402625877,0,4,0,1689820.0,761.0,53.52798053527981,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,14863412.000000013,9808.941333333343,86.04529724285999,-56.400517306484296,1.507689469580099,132956.90000000002,97.72095096269831,63.42912402625877,99.08941333333343,,,,,2019-01,2019-01,2019,1,1,1,1,1,1,1,stage004_C_start_2019,start_2019,2019-01-01,2026-05-29,C
stage004_A_start_2020,A: 当前正式 C9/15万,stage004_A_start_2020,start_2020,2020-01-01 independent start to 2026-05-29,start_year,2020-01-02,2026-05-29,150000.0,150000.0,0.4,1550,6109231.0000000065,3972.8206666666706,78.40029849087466,-55.37011212255625,25.663424518610153,1.4120855204473077,141520.0,88.33975843726401,62.427003752626916,0,0,0,730650.0,631.0,52.858575727181545,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,6109231.0000000065,3972.8206666666706,78.40029849087466,-55.37011212255625,1.4120855204473077,141520.0,88.33975843726401,62.427003752626916,40.72820666666671,,,,,2020-01,2020-01,2020,1,1,1,1,1,1,1,stage004_A_start_2020,start_2020,2020-01-01,2026-05-29,A
stage004_C_start_2020,C: 正式基线 + 换月连续历史形态续仓,stage004_C_start_2020,start_2020,2020-01-01 independent start to 2026-05-29,start_year,2020-01-02,2026-05-29,150000.0,150000.0,0.4,1550,7204960.700000004,4703.307133333336,83.05576820371184,-57.354745115906056,26.190697042572076,1.4365002381451082,141520.0,92.4872645421991,65.64096457651529,0,2,0,838200.0,636.0,52.84313725490196,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,7204960.700000004,4703.307133333336,83.05576820371184,-57.354745115906056,1.4365002381451082,141520.0,92.4872645421991,65.64096457651529,48.03307133333336,,,,,2020-01,2020-01,2020,1,1,1,1,1,1,1,stage004_C_start_2020,start_2020,2020-01-01,2026-05-29,C
stage004_A_start_2021,A: 当前正式 C9/15万,stage004_A_start_2021,start_2021,2021-01-01 independent start to 2026-05-29,start_year,2021-01-04,2026-05-29,150000.0,150000.0,0.4,1307,2447879.800000001,1531.9198666666675,67.77516516222222,-54.31795944572162,27.45686733921739,1.3043948631011444,150000.0,80.74608107461152,57.91838919820968,0,0,0,279440.0,490.0,51.291512915129154,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,2447879.800000001,1531.9198666666675,67.77516516222222,-54.31795944572162,1.3043948631011444,150000.0,80.74608107461152,57.91838919820968,16.319198666666676,,,,,2021-01,2021-01,2021,1,1,1,1,1,1,1,stage004_A_start_2021,start_2021,2021-01-01,2026-05-29,A
stage004_C_start_2021,C: 正式基线 + 换月连续历史形态续仓,stage004_C_start_2021,start_2021,2021-01-01 independent start to 2026-05-29,start_year,2021-01-04,2026-05-29,150000.0,150000.0,0.4,1307,2894848.200000002,1829.8988000000013,73.07128064285622,-54.97530222374326,27.487591295214084,1.3385836361960899,150000.0,87.07643294733593,63.3134242517841,0,0,0,324230.0,498.0,51.88335358444714,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,2894848.200000002,1829.8988000000013,73.07128064285622,-54.97530222374326,1.3385836361960899,150000.0,87.07643294733593,63.3134242517841,19.298988000000012,,,,,2021-01,2021-01,2021,1,1,1,1,1,1,1,stage004_C_start_2021,start_2021,2021-01-01,2026-05-29,C
stage004_A_start_2022,A: 当前正式 C9/15万,stage004_A_start_2022,start_2022,2022-01-01 independent start to 2026-05-29,start_year,2022-01-04,2026-05-29,150000.0,150000.0,0.4,1064,329709.0000000001,119.80600000000008,19.616062919947975,-39.982045671323576,20.82171153801912,0.6958323681503539,105690.0,64.51003789405789,45.77400573339884,0,0,0,26490.0,316.0,49.585406301824214,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,329709.0000000001,119.80600000000008,19.616062919947975,-39.982045671323576,0.6958323681503539,105690.0,64.51003789405789,45.77400573339884,2.198060000000001,,,,,2022-01,2022-01,2022,1,1,1,1,1,0,0,stage004_A_start_2022,start_2022,2022-01-01,2026-05-29,A
stage004_C_start_2022,C: 正式基线 + 换月连续历史形态续仓,stage004_C_start_2022,start_2022,2022-01-01 independent start to 2026-05-29,start_year,2022-01-04,2026-05-29,150000.0,150000.0,0.4,1064,336324.0000000001,124.21600000000007,20.15768199711583,-46.06962380685008,24.28884051074345,0.6826346669525781,103570.0,64.51003789405789,49.5602427328709,0,0,0,28500.0,327.0,49.588138385502475,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,336324.0000000001,124.21600000000007,20.15768199711583,-46.06962380685008,0.6826346669525781,103570.0,64.51003789405789,49.5602427328709,2.2421600000000006,,,,,2022-01,2022-01,2022,1,1,1,1,1,1,0,stage004_C_start_2022,start_2022,2022-01-01,2026-05-29,C
stage004_A_start_2023,A: 当前正式 C9/15万,stage004_A_start_2023,start_2023,2023-01-01 independent start to 2026-05-29,start_year,2023-01-03,2026-05-29,150000.0,150000.0,0.4,822,343859.40000000014,129.2396000000001,27.63058026862657,-24.468997361477573,10.855416852246762,0.9417748880479455,114505.0,59.969616274501256,45.725575838130865,0,0,0,24550.0,244.0,51.54004106776181,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,343859.40000000014,129.2396000000001,27.63058026862657,-24.468997361477573,0.9417748880479455,114505.0,59.969616274501256,45.725575838130865,2.292396000000001,,,,,2023-01,2023-01,2023,1,1,1,1,1,0,0,stage004_A_start_2023,start_2023,2023-01-01,2026-05-29,A
stage004_C_start_2023,C: 正式基线 + 换月连续历史形态续仓,stage004_C_start_2023,start_2023,2023-01-01 independent start to 2026-05-29,start_year,2023-01-03,2026-05-29,150000.0,150000.0,0.4,822,349764.0000000001,133.1760000000001,28.27122655163752,-24.468997361477573,11.479927481856226,0.9464302016837449,114505.0,61.560416330482504,48.155722732859275,0,0,0,24900.0,251.0,51.829268292682926,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,349764.0000000001,133.1760000000001,28.27122655163752,-24.468997361477573,0.9464302016837449,114505.0,61.560416330482504,48.155722732859275,2.331760000000001,,,,,2023-01,2023-01,2023,1,1,1,1,1,0,0,stage004_C_start_2023,start_2023,2023-01-01,2026-05-29,C
